YEAR,MONTH,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2017,6,11798,ROUTE 4 4/6 CAN - 12.OZ,BEER,0.0,0.0,1.0
2020,1,10272,WILD TURKEY LONGBRANCH - 750ML,LIQUOR,12.666439942112879,12.5879835986493,1.150385914134105
2020,1,232056,MARRAMIERO MONT RIS INFERI 10 - 750ML,WINE,0.020970149253731345,0.022388059701492536,0.9925373134328358
2019,1,311667,DIEMERSFONTEIN PINTGE - 750ML,WINE,0.21905511811023623,0.14173228346456693,1.236220472440945
2020,1,236770,TENTH WARD DIST CO SMOKED CORN WHISKEY - 750ML,LIQUOR,1.2049397590361446,1.9036144578313252,0.0
2018,2,232142,COLLEVENTO 921 MERLOT 750ML,WINE,0.0,0.0,3.769230769230769
2020,1,10375,GOSLINGS GINGER BEER-NA-4/6 CAN - 12OZ (SODA),LIQUOR,12.758253094910591,12.614484181568088,3.944869325997249
2020,1,10401,1794 FOUR GRAIN RYE WHISKEY - 750ML,LIQUOR,1.013701923076923,0.46072115384615386,0.004807692307692308
2017,9,89336,CHADDSFORD PROPRIETORS RED - 750ML,WINE,0.2733333333333334,0.0,0.0
2020,1,29980,PENNSYLVANIA DUTCH EGG NOG - 1.75L,LIQUOR,47.00875,60.995,0.0
2019,7,166664,GT'S CLASSIC GOLD KOMBUCHA SYNERGY NEW WORLD NOIR 12/16OZ,BEER,0.0,0.0,2.4444444444444446
2020,1,166338,HELLO KITTY SWEET PINK W/GIFT BOX - 375ML,WINE,0.03125,0.03125,1.28125
2017,7,309423,CH DIANA PROTEST RED - 750ML,WINE,0.144,0.0,0.4
2019,7,312604,DESTINOS RED - 750ML,WINE,0.3233333333333333,0.6666666666666666,0.0
2019,1,84830,KEEP IT SIMPLE SYRUP 12/CS - 350ML,NON-ALCOHOL,0.45769230769230773,0.10230769230769231,0.0
2020,1,81417,CONNETABLE DE TALBOT 2015 -750ML,WINE,1.8816816143497759,1.3997309417040358,0.02914798206278027
2020,1,68671,DENIZENS LIME SELTZER 4/6 CANS,BEER,23.894827586206898,28.68103448275862,0.0
2019,1,70178,BENROMACH TRADITIONAL SINGLE MALT - 750ML,LIQUOR,0.4936363636363636,0.0,0.0
2019,1,334204,BERG & HAUCKS BITTERS KIT - 100ML,NON-ALCOHOL,1.4655555555555557,1.576,0.24444444444444444
2020,1,26127,HEAVY SEAS TROPICANNON 4/6 12.OZ CAN,BEER,9.509701726844584,9.637095761381476,36.62919937205651
2020,1,26031,DOMINION OAK BARREL STOUT 4/6 NR - 12OZ,BEER,2.1716408668730653,2.1888544891640866,19.1609907120743
2020,1,354490,DOM LES TEMPS PERDUS CHAB - 750ML,WINE,0.21022346368715086,0.1946368715083799,1.100558659217877
2020,1,131393,ARIS GREEK LAGER 4/6NR - 11OZ,BEER,0.9873965936739659,0.9326196269261964,4.379124087591241
2020,1,10787,SIMI S/BLC - 750ML,LIQUOR,19.698502393776185,19.413794135248356,17.86348144823459
2020,1,337217,BOEN RUSSIAN RIVER P/NOIR - 750ML,WINE,2.6712903225806452,2.5423790322580646,3.254032258064516
2018,1,26877,CISCO GREY LADY 4/6NR - 12OZ,BEER,2.1275,2.125,18.78125
2020,1,11339,HOUSE OF BLUES RED BLEND - 750ML,LIQUOR,1.4826149425287358,1.125948275862069,0.5919540229885057
2020,7,69670,CROOK & MARKER SPIKED COCONUT VARIETY 3/8PK CANS,BEER,0.0,0.0,1.6666666666666667
2020,1,20090,NEGRA MODELO 2/12 NR - 12OZ,BEER,66.85483768804434,65.58413301662708,1307.8950989707046
2018,1,435473,D'AQUINO MOSCATO BLUE BOTTLE - 750ML,WINE,0.085,0.0,0.5
2020,1,234036,PALISSADE P/NOIR - 750ML,WINE,0.199,0.1,1.7
2020,1,26215,DC BRAU ROSE DU GOSE 6/4 CANS,BEER,11.894453608247424,11.892453608247424,44.12082474226804
2018,1,331306,LA COTERIE CDR - 750ML,WINE,0.08,0.5,0.0
2020,1,166279,GNARLY HEAD S/BLC - 750ML,WINE,25.91309327846365,26.625555555555554,16.058676268861454
2020,1,11811,EVOLUTION PINEHOPLE IPA - 1/6,BEER,3.969359331476323,4.122910863509749,22.35190807799443
2019,1,56440,DESCHUTES FRESH SQUEEZED IPA 12OZ NR,BEER,7.73943820224719,7.741573033707865,22.679775280898877
2020,1,119776,YELLOW TAIL MOSCATO - 1.5L,LIQUOR,17.016624767225327,17.085693668528865,16.628864059590317
2020,1,10634,KALIBER BREW NA 4/6 NR - 12OZ,BEER,19.327553191489365,19.150759308510636,22.68146675531915
2020,1,100293,GRAND D'ARE SHZ - 750ML,BEER,0.31460655345611094,0.29136570198517103,2.884336283185841
2020,1,42838,WRITERS TEARS COPPER POT IRISH WHISKEY - 750ML,LIQUOR,10.16453947368421,10.349736842105264,0.4473684210526316
2019,1,239622,SUPREME CORE MIDLANTICKY 6/4 CANS,BEER,0.0,0.0,7.418918918918919
2020,1,166478,PARIS VALLEY ROAD CAB - 750ML,LIQUOR,0.8196586879432625,0.8483466312056737,2.9349290780141843
2018,1,1406,DOGFISH HEAD MIDAS TOUCH 6/4 NR - 12OZ,BEER,15.725686813186812,15.965549450549451,70.93472527472528
2019,1,1406,DOGFISH HEAD MIDAS TOUCH 6/4 NR - 12OZ,BEER,16.165074626865675,16.437114427860696,64.40388059701493
2018,1,342445,BARREL HONEY RUM DFH -750ML,LIQUOR,3.9463333333333335,3.183333333333333,1.1333333333333333
2019,1,136387,DOMAINE LALANDE CHARD - 750ML,LIQUOR,0.6438571428571429,0.2857142857142857,0.6131428571428572
2020,1,14249,SMOKING LOON P/GRIG - 750ML,WINE,4.283652694610779,3.7336526946107784,5.788922155688622
2020,1,10407,WEIHENSTEPHANER ORIGINAL 4/6NR - 12OZ,BEER,0.3768888888888889,0.3659221272554606,3.0911604938271604
2020,1,73039,DRAGON VODKA - 750ML,LIQUOR,0.7613207547169811,0.12580188679245283,0.0
2017,10,67792,TORRES VINA SOL WHITE - 750ML,WINE,0.285,0.0,0.0
2020,1,13650,DUCKHORN TEN DEGREES  P/NOIR - 750ML,WINE,5.908709016393442,6.15764344262295,5.026475409836066
2019,1,10772,DUCLAW HELL ON WOOD 4/6 121.0Z NR,BEER,2.7653140096618354,2.829710144927536,8.932367149758454
2020,1,10864,SANDPIPER CHARDONNAY - 750ML,LIQUOR,3.388542713567839,3.1717420435510886,0.7346398659966499
2020,1,12210,BOULEVARD MANHATTAN SOCIAL CLUB 6/4 NR,BEER,1.2944594594594594,1.2387387387387387,8.521576576576576
2020,1,102,CORKSCREW,REF,10.898646616541352,9.958947368421052,0.0
