YEAR,MONTH,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
6055,26,0.0,0.0,3.0
32300,96,0.0,0.0,48.0
18160,54,1.97,0.0,4.0
40364,132,79.67,73.0,81.0
24214,94,2.45,0.0,11.0
22194,75,4.3,2.0,15.0
48444,152,37.36,28.0,0.0
34307,110,11.37,5.0,0.0
48444,152,38.39,36.0,237.0
42391,124,5.1,7.0,0.0
20179,68,1.45,0.0,0.0
30272,94,11.56,0.0,0.0
34307,106,28.810000000000002,19.0,0.0
46425,146,17.96,23.0,0.0
46424,149,20.63,15.84,0.0
24214,74,0.0,0.0,37.0
48444,152,33.74,21.0,0.0
6052,22,0.0,0.0,4.0
14121,46,1.21,0.0,0.0
2017,6,0.0,0.0,1.0
6053,25,0.0,0.0,2.0
12104,41,0.0,0.0,10.0
4035,11,0.0,4.0,0.0
2018,1,0.0,0.0,3.0
2018,1,0.0,0.0,1.0
8070,19,0.17,3.0,0.0
18155,66,23.5,22.0,21.0
48444,152,0.0,0.0,202.92000000000002
6051,21,1.0,1.0,7.0
6055,22,0.0,0.0,4.0
4034,13,0.0,0.0,2.0
40368,130,4.29,5.0,5.0
4034,21,0.0,0.0,3.0
20185,69,1.15,1.0,19.0
48444,152,604.28,650.0,8.0
4034,18,0.0,0.0,3.0
2017,12,0.0,0.0,1.0
40373,126,47.620000000000005,40.0,37.0
48444,152,48.0,50.0,180.0
6051,33,0.96,1.0,0.0
8076,7,0.75,0.0,26.0
6053,14,0.0,0.0,2.0
44410,131,12.57,10.0,33.0
2017,12,0.0,0.0,1.0
32288,94,14.45,19.0,68.75
48444,152,329.82,270.49,3.0
8076,26,0.0,0.0,4.0
30279,87,0.0,0.0,25.0
10095,25,0.0,0.0,8.0
8068,31,0.0,0.0,8.0
6053,12,0.0,0.0,3.0
14122,57,1.88,0.0,0.0
48444,152,55.1,38.9,0.0
14119,63,0.0,0.0,12.0
34315,99,7.8100000000000005,7.0,0.0
4034,14,1.0,1.0,2.0
2017,6,0.0,0.0,1.0
2017,6,0.0,0.0,4.0
10085,40,1.0,1.0,15.0
42387,146,28.97,34.92,68.0
38350,115,0.75,0.0,67.0
48444,152,600.2,620.75,585.0
6051,21,0.8500000000000001,0.0,0.0
48444,152,6.5,5.0,91.0
48444,152,980.79,983.96,2792.46
46424,145,21.31,23.0,16.0
48444,152,512.89,501.0,3770.21
48444,152,31.5,29.0,1068.92
14119,63,13.75,12.0,89.0
48444,152,1870.83,1844.5,5381.96
44404,136,513.4,506.0,1618.0
48444,152,1173.84,1150.5,3285.46
44404,136,69.5,71.0,691.58
48444,152,143.64,143.0,742.75
48444,152,31.32,33.0,159.0
42386,130,17.41,5.0,54.0
18165,58,0.0,0.0,9.0
48444,152,519.86,579.67,371.0
48444,152,846.49,827.83,74.0
48444,152,573.3,578.83,56.0
48444,152,622.01,637.91,8.0
48444,152,304.75,224.0,44.0
34309,112,1.46,0.0,15.0
2019,2,0.0,0.0,2.0
2017,6,0.0,0.0,10.0
2017,6,0.0,0.0,22.0
44405,142,3.87,4.0,24.0
46427,142,3.12,3.0,41.0
48444,152,75.82,87.0,8.0
20183,62,0.0,0.0,12.0
6052,19,0.0,0.0,3.0
26236,86,1.53,1.0,16.0
6052,18,0.0,0.0,3.0
48444,152,59.29,43.0,0.0
2017,8,0.0,0.0,1.0
24216,71,11.6,4.0,0.0
4034,13,0.0,0.0,21.0
24224,74,0.32,3.0,31.92
12104,42,0.0,0.0,17.0
2018,1,0.0,0.0,0.0
4034,13,0.0,0.0,3.0
48444,152,34.95,25.0,0.0
48444,152,432.7,408.0,0.0
26239,85,0.0,0.0,56.0
20188,47,0.97,1.0,41.0
14130,52,0.0,0.0,14.92
48444,152,1373.2,1309.81,1.0
2017,10,0.0,0.0,2.0
14128,57,0.0,0.0,7.0
6054,14,0.0,0.0,3.0
48444,152,23.759999999999998,14.0,5.0
48444,152,74.15,76.0,19.0
34307,122,2.35,1.0,12.0
2017,6,0.0,0.0,1.0
12104,36,0.0,0.0,20.0
2018,1,0.0,0.0,1.0
10087,41,0.0,0.0,6.0
2019,10,0.0,0.0,1.0
6051,24,0.0,0.0,4.0
2017,6,0.0,0.0,1.0
48444,152,205.49,199.0,298.0
2017,8,0.0,0.0,1.0
28253,103,0.0,0.0,80.0
44408,140,0.0,0.0,126.0
18156,67,0.36,1.0,32.0
48444,152,33.8,48.0,0.0
2018,2,0.0,0.0,1.0
2019,3,0.0,0.0,1.0
38350,121,5.859999999999999,6.0,16.0
12102,53,0.0,0.0,13.0
20174,67,6.41,-0.17,0.0
32292,101,7.8100000000000005,0.0,0.0
24212,79,6.11,0.0,0.0
48444,152,8.45,11.0,268.75
48444,152,44.66,44.0,119.5
2017,6,0.0,0.0,2.0
2018,2,0.0,0.0,2.0
10090,41,0.0,0.0,6.0
10094,22,0.04,0.0,7.0
2017,6,0.0,0.0,1.0
6053,27,0.0,0.0,3.0
34316,105,0.0,0.0,35.0
48444,152,212.39,225.75,8.0
30271,93,32.14,33.0,4.0
48444,152,144.74,151.92,203.0
46427,143,43.75,44.25,230.75
4034,15,0.0,0.0,2.0
2017,11,0.41,0.0,0.0
4034,13,0.5,0.0,0.0
48444,152,15.5,16.0,176.75
8069,29,0.67,2.0,24.0
24223,66,0.0,0.0,19.0
16138,56,3.9699999999999998,3.0,6.0
2017,6,0.0,0.0,6.0
6051,28,0.0,0.0,2.0
4034,19,0.5,-1.0,0.0
34307,102,49.04,37.0,1.0
42386,132,8.1,3.0,4.0
44405,141,14.78,8.0,1.0
4036,19,0.0,0.0,2.0
48444,152,577.61,577.5,11.0
36331,103,10.36,1.0,0.0
26231,81,17.49,4.0,0.0
18155,66,6.2,2.0,0.0
14125,40,2.04,-0.17,0.0
18159,61,14.25,1.0,0.0
18155,66,12.07,1.0,0.0
28254,102,1.86,0.0,5.0
26231,80,15.44,7.0,0.0
40367,133,14.09,5.83,0.0
44405,139,14.06,11.0,0.0
30269,105,13.15,9.0,0.0
